dest_id,state,destination,county,mie,seasonal,n_seasons,lodging_min,lodging_max,daily_min,daily_max
127,IN,Bloomington ,Monroe,74,True,3,110,139,184,213
130,IN,Indianapolis / Carmel,Marion / Hamilton,80,False,1,133,133,213,213
131,IN,Lafayette / West Lafayette,Tippecanoe,74,True,2,123,143,197,217
137,KS,Kansas City / Overland Park,Wyandotte / Johnson / Leavenworth,80,False,1,135,135,215,215
139,KY,Boone,Boone,68,False,1,116,116,184,184
140,KY,Lexington,Fayette,80,False,1,118,118,198,198
141,KY,Louisville,Jefferson,80,True,5,120,164,200,244
144,LA,New Orleans,Orleans / Jefferson Parishes,80,True,4,133,179,213,259
147,MA,Andover,Essex,80,False,1,137,137,217,217
148,MA,Boston / Cambridge,"Suffolk, city of Cambridge",92,True,4,209,349,301,441
149,MA,Burlington / Woburn,Middlesex less the city of Cambridge,86,True,3,144,178,230,264
150,MA,Falmouth,City limits of Falmouth,86,True,3,142,253,228,339
151,MA,Hyannis,Barnstable less the city of Falmouth,92,True,3,131,209,223,301
152,MA,Martha's Vineyard,Dukes,92,True,2,196,462,288,554
153,MA,Nantucket,Nantucket,92,True,2,175,471,267,563
154,MA,Northampton,Hampshire,80,False,1,157,157,237,237
155,MA,Pittsfield,Berkshire,86,True,3,136,178,222,264
156,MA,Plymouth / Taunton / New Bedford,Plymouth / Bristol,80,False,1,126,126,206,206
157,MA,Quincy,Norfolk,80,True,3,139,175,219,255
158,MA,Springfield,Hampden,74,False,1,128,128,202,202
160,MA,Worcester,Worcester,80,False,1,135,135,215,215
161,MD,Aberdeen / Bel Air / Belcamp,Harford,74,False,1,113,113,187,187
162,MD,Annapolis,Anne Arundel,80,True,3,125,161,205,241
163,MD,Baltimore City,Baltimore City,86,False,1,150,150,236,236
164,MD,Cambridge / St. Michaels,Dorchester / Talbot,80,True,3,145,186,225,266
165,MD,Columbia,Howard,86,False,1,113,113,199,199
170,MD,Ocean City,Worcester,80,True,3,115,295,195,375
171,ME,Bar Harbor / Rockport,Hancock / Knox,92,True,5,128,304,220,396
172,ME,Kennebunk / Kittery / Sanford,York ,86,True,4,119,201,205,287
173,ME,Portland,Cumberland / Sagadahoc,80,True,4,114,211,194,291
175,MI,Ann Arbor,Washtenaw,80,True,3,125,146,205,226
