dest_id,state,destination,county,season_begin,season_end,lodging,mie,daily_cap,seasonal
49,CA,Yosemite National Park,Mariposa,May 1,September 30,181,86,267,True
50,CO,Aspen,Pitkin,October 1,November 30,207,92,299,True
50,CO,Aspen,Pitkin,December 1,March 31,407,92,499,True
50,CO,Aspen,Pitkin,April 1,September 30,207,92,299,True
52,CO,Boulder / Broomfield,Boulder / Broomfield,October 1,October 31,173,80,253,True
52,CO,Boulder / Broomfield,Boulder / Broomfield,November 1,April 30,125,80,205,True
52,CO,Boulder / Broomfield,Boulder / Broomfield,May 1,September 30,173,80,253,True
53,CO,Colorado Springs,El Paso,October 1,May 31,123,86,209,True
53,CO,Colorado Springs,El Paso,June 1,August 31,168,86,254,True
53,CO,Colorado Springs,El Paso,September 1,September 30,123,86,209,True
54,CO,Cortez,Montezuma,October 1,October 31,133,74,207,True
54,CO,Cortez,Montezuma,November 1,April 30,110,74,184,True
54,CO,Cortez,Montezuma,May 1,September 30,133,74,207,True
55,CO,Crested Butte / Gunnison,Gunnison,,,154,86,240,False
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,October 1,October 31,215,92,307,True
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,November 1,March 31,165,92,257,True
56,CO,Denver / Aurora,Denver / Adams / Arapahoe / Jefferson,April 1,September 30,215,92,307,True
427,CO,Douglas ,Douglas,October 1,May 31,111,80,191,True
427,CO,Douglas ,Douglas,June 1,August 31,142,80,222,True
427,CO,Douglas ,Douglas,September 1,September 30,111,80,191,True
57,CO,Durango,La Plata,October 1,May 31,121,80,201,True
57,CO,Durango,La Plata,June 1,September 30,184,80,264,True
58,CO,Fort Collins / Loveland,Larimer,October 1,May 31,110,80,190,True
58,CO,Fort Collins / Loveland,Larimer,June 1,August 31,140,80,220,True
58,CO,Fort Collins / Loveland,Larimer,September 1,September 30,110,80,190,True
493,CO,Grand Lake,Grand,October 1,November 30,145,86,231,True
493,CO,Grand Lake,Grand,December 1,March 31,173,86,259,True
493,CO,Grand Lake,Grand,April 1,May 31,122,86,208,True
493,CO,Grand Lake,Grand,June 1,September 30,145,86,231,True
61,CO,Montrose,Montrose,October 1,October 31,185,74,259,True
61,CO,Montrose,Montrose,November 1,May 31,136,74,210,True
61,CO,Montrose,Montrose,June 1,September 30,185,74,259,True
63,CO,Silverthorne / Breckenridge,Summit,October 1,November 30,162,92,254,True
63,CO,Silverthorne / Breckenridge,Summit,December 1,March 31,282,92,374,True
63,CO,Silverthorne / Breckenridge,Summit,April 1,September 30,162,92,254,True
64,CO,Steamboat Springs,Routt,October 1,November 30,132,92,224,True
64,CO,Steamboat Springs,Routt,December 1,March 31,288,92,380,True
64,CO,Steamboat Springs,Routt,April 1,May 31,123,92,215,True
64,CO,Steamboat Springs,Routt,June 1,September 30,179,92,271,True
65,CO,Telluride,San Miguel,October 1,November 30,184,92,276,True
65,CO,Telluride,San Miguel,December 1,March 31,350,92,442,True
65,CO,Telluride,San Miguel,April 1,September 30,184,92,276,True
66,CO,Vail,Eagle,October 1,November 30,201,92,293,True
66,CO,Vail,Eagle,December 1,March 31,397,92,489,True
66,CO,Vail,Eagle,April 1,September 30,201,92,293,True
67,CT,Bridgeport / Danbury,Fairfield,,,146,86,232,False
69,CT,Hartford,Hartford,,,138,80,218,False
71,CT,New Haven,New Haven,,,130,80,210,False
72,CT,New London / Groton,New London,,,124,86,210,False
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",October 1,October 31,275,92,367,True
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",November 1,February 28,196,92,288,True
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",March 1,June 30,276,92,368,True
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",July 1,August 31,183,92,275,True
75,DC,District of Columbia,"Washington DC (also the cities of Alexandria, Falls Church and Fairfax, and the counties of Arlington and Fairfax, in Virginia; and the counties of Montgomery and Prince George's in Maryland)",September 1,September 30,275,92,367,True
77,DE,Lewes,Sussex,October 1,May 31,124,74,198,True
77,DE,Lewes,Sussex,June 1,August 31,221,74,295,True
77,DE,Lewes,Sussex,September 1,September 30,124,74,198,True
78,DE,Wilmington,New Castle,,,127,74,201,False
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,October 1,December 31,171,86,257,True
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,January 1,April 30,244,86,330,True
99,FL,Boca Raton / Delray Beach / Jupiter,Palm Beach / Hendry,May 1,September 30,143,86,229,True
80,FL,Bradenton,Manatee,October 1,January 31,151,80,231,True
80,FL,Bradenton,Manatee,February 1,March 31,225,80,305,True
80,FL,Bradenton,Manatee,April 1,September 30,145,80,225,True
81,FL,Cocoa Beach,Brevard,October 1,January 31,166,74,240,True
81,FL,Cocoa Beach,Brevard,February 1,March 31,208,74,282,True
81,FL,Cocoa Beach,Brevard,April 1,September 30,166,74,240,True
82,FL,Daytona Beach,Volusia,October 1,December 31,116,80,196,True
82,FL,Daytona Beach,Volusia,January 1,April 30,157,80,237,True
82,FL,Daytona Beach,Volusia,May 1,July 31,138,80,218,True
82,FL,Daytona Beach,Volusia,August 1,September 30,116,80,196,True
84,FL,Fort Lauderdale,Broward,October 1,December 31,172,86,258,True
84,FL,Fort Lauderdale,Broward,January 1,April 30,224,86,310,True
84,FL,Fort Lauderdale,Broward,May 1,September 30,143,86,229,True
85,FL,Fort Myers,Lee,October 1,December 31,139,80,219,True
85,FL,Fort Myers,Lee,January 1,March 31,216,80,296,True
85,FL,Fort Myers,Lee,April 1,September 30,139,80,219,True
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,October 1,October 31,164,86,250,True
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,November 1,February 28,110,86,196,True
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,March 1,May 31,184,86,270,True
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,June 1,July 31,260,86,346,True
83,FL,Fort Walton Beach / De Funiak Springs,Okaloosa / Walton,August 1,September 30,164,86,250,True
89,FL,Gulf Breeze,Santa Rosa,October 1,February 28,124,74,198,True
89,FL,Gulf Breeze,Santa Rosa,March 1,May 31,161,74,235,True
89,FL,Gulf Breeze,Santa Rosa,June 1,July 31,214,74,288,True
89,FL,Gulf Breeze,Santa Rosa,August 1,September 30,124,74,198,True
91,FL,Key West,Monroe,October 1,November 30,269,86,355,True
91,FL,Key West,Monroe,December 1,January 31,366,86,452,True
91,FL,Key West,Monroe,February 1,April 30,436,86,522,True
91,FL,Key West,Monroe,May 1,September 30,258,86,344,True
95,FL,Miami,Miami-Dade,October 1,November 30,145,92,237,True
95,FL,Miami,Miami-Dade,December 1,January 31,210,92,302,True
95,FL,Miami,Miami-Dade,February 1,March 31,232,92,324,True
