mie_total,breakfast,lunch,dinner,incidental,first_last,source
68,16,19,28,5,51.0,https://www.gsa.gov/travel/plan-a-trip/per-diem-rates/mie-breakdowns
74,18,20,31,5,55.5,https://www.gsa.gov/travel/plan-a-trip/per-diem-rates/mie-breakdowns
80,20,22,33,5,60.0,https://www.gsa.gov/travel/plan-a-trip/per-diem-rates/mie-breakdowns
86,22,23,36,5,64.5,https://www.gsa.gov/travel/plan-a-trip/per-diem-rates/mie-breakdowns
92,23,26,38,5,69.0,https://www.gsa.gov/travel/plan-a-trip/per-diem-rates/mie-breakdowns
